_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.1,M4131,GSE17721 4 VS 24H CPG BMDC DN,M1,1,0
1,-2.1,M16774,WILCOX RESPONSE TO PROGESTERONE DN,M1,1,0
1,-3,M8318,GSE28726 NAIVE VS ACTIVATED NKTCELL UP,M1,1,0
1,-3.7,M3594,GSE15930 NAIVE VS 24H IN VITRO STIM INFAB CD8 TCELL DN,M1,1,0
1,-8.6,GO:0021987,cerebral cortex development,M1,1,0
1,-3.7,R-HSA-110056,MAPK3 (ERK1) activation,M1,1,0
1,-6.1,GO:0031983,vesicle lumen,M1,1,0
1,-3.7,GO:0000012,single strand break repair,M1,1,0
1,-2.9,GO:0001750,photoreceptor outer segment,M1,1,0
1,-7.8,GO:0051090,regulation of DNA-binding transcription factor activity,M1,1,0
1,-3.1,M8408,GSE29949 CD8 POS DC SPLEEN VS DC BRAIN DN,M1,1,0
1,-4.3,GO:0098562,cytoplasmic side of membrane,M1,1,0
1,-11,GO:0006625,protein targeting to peroxisome,M1,1,0
1,-2.6,GO:0002053,positive regulation of mesenchymal cell proliferation,M1,1,0
1,-2.5,M6211,GSE2405 0H VS 1.5H A PHAGOCYTOPHILUM STIM NEUTROPHIL DN,M1,1,0
1,-12,M15,PID LYSOPHOSPHOLIPID PATHWAY,M1,1,0
1,-10,GO:0007596,blood coagulation,M1,1,0
1,-3.8,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-4.2,GO:2001242,regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-2.7,GO:1904037,positive regulation of epithelial cell apoptotic process,M1,1,0
1,-8.1,GO:1902532,negative regulation of intracellular signal transduction,M1,1,0
1,-2.6,M4479,TURASHVILI BREAST DUCTAL CARCINOMA VS LOBULAR NORMAL UP,M1,1,0
1,-4.7,GO:0086019,cell-cell signaling involved in cardiac conduction,M1,1,0
1,-6.4,GO:0030036,actin cytoskeleton organization,M1,1,0
1,-2.7,M2428,WELCSH BRCA1 TARGETS DN,M1,1,0
1,-12,M145,PID P53 DOWNSTREAM PATHWAY,M1,1,0
1,-2.1,GO:0006984,ER-nucleus signaling pathway,M1,1,0
1,-6.4,GO:0098659,inorganic cation import across plasma membrane,M1,1,0
1,-4.2,M854,LINDGREN BLADDER CANCER CLUSTER 3 UP,M1,1,0
1,-6.1,R-HSA-5576893,Phase 2 - plateau phase,M1,1,0
1,-3.2,R-HSA-9027284,Erythropoietin activates RAS,M1,1,0
1,-3.7,M19927,TOYOTA TARGETS OF MIR34B AND MIR34C,M1,1,0
1,-8.5,R-HSA-9671555,Signaling by PDGFR in disease,M1,1,0
1,-11,M1,PID FANCONI PATHWAY,M1,1,0
1,-2.6,GO:0048259,regulation of receptor-mediated endocytosis,M1,1,0
1,-25,R-HSA-1257604,PIP3 activates AKT signaling,M1,1,0
1,-3,M6207,GSE2405 S AUREUS VS A PHAGOCYTOPHILUM NEUTROPHIL UP,M1,1,0
1,-3,GO:0016307,phosphatidylinositol phosphate kinase activity,M1,1,0
1,-3,M6417,GSE8921 UNSTIM VS TLR1 2 STIM MONOCYTE 6H DN,M1,1,0
1,-3.1,R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,M1,1,0
1,-3.2,GO:2000181,negative regulation of blood vessel morphogenesis,M1,1,0
1,-2.4,M3676,GSE17580 UNINFECTED VS S MANSONI INF TEFF DN,M1,1,0
1,-3.3,GO:0001676,long-chain fatty acid metabolic process,M1,1,0
1,-5.4,GO:0060205,cytoplasmic vesicle lumen,M1,1,0
1,-6.5,GO:0010960,magnesium ion homeostasis,M1,1,0
1,-23,hsa05213,Endometrial cancer,M1,1,0
1,-2.2,M2248,BRUINS UVC RESPONSE EARLY LATE,M1,1,0
1,-9.5,R-HSA-69481,G2/M Checkpoints,M1,1,0
1,-2.5,R-HSA-9020702,Interleukin-1 signaling,M1,1,0
1,-2.4,GO:0007204,positive regulation of cytosolic calcium ion concentration,M1,1,0
1,-19,hsa05160,Hepatitis C,M1,1,0
1,-8.3,GO:0016558,protein import into peroxisome matrix,M1,1,0
1,-3.1,M4228,GSE17974 IL4 AND ANTI IL12 VS UNTREATED 48H ACT CD4 TCELL UP,M1,1,0
1,-4,GO:2000146,negative regulation of cell motility,M1,1,0
1,-3,GO:0090218,positive regulation of lipid kinase activity,M1,1,0
1,-7.5,GO:0060170,ciliary membrane,M1,1,0
1,-21,GO:0040007,growth,M1,1,0
1,-5.1,M3207,GSE13229 IMM VS MATURE NKCELL DN,M1,1,0
1,-3.2,CORUM:713,BRG1-SIN3A complex,M1,1,0
1,-2.8,WP1545,miRNAs involved in DNA damage response,M1,1,0
1,-6,GO:0008083,growth factor activity,M1,1,0
1,-3.7,M7222,GSE19198 CTRL VS IL21 TREATED TCELL 1H DN,M1,1,0
1,-2.8,R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer,M1,1,0
1,-4.7,GO:0001945,lymph vessel development,M1,1,0
1,-4.9,GO:0030425,dendrite,M1,1,0
1,-5.4,GO:2000677,regulation of transcription regulatory region DNA binding,M1,1,0
1,-2.4,M1604,JACKSON DNMT1 TARGETS UP,M1,1,0
1,-3.3,M286,PID TGFBR PATHWAY,M1,1,0
1,-5.6,GO:0060966,regulation of gene silencing by RNA,M1,1,0
1,-4.2,GO:0021782,glial cell development,M1,1,0
1,-2.8,GO:0050803,regulation of synapse structure or activity,M1,1,0
1,-3.2,GO:0051302,regulation of cell division,M1,1,0
1,-9.5,GO:0003712,transcription coregulator activity,M1,1,0
1,-21,GO:1901652,response to peptide,M1,1,0
1,-2.9,M229,PID P38 ALPHA BETA DOWNSTREAM PATHWAY,M1,1,0
1,-11,M2879,BLUM RESPONSE TO SALIRASIB DN,M1,1,0
1,-2.5,M5222,GSE360 HIGH VS LOW DOSE B MALAYI DC UP,M1,1,0
1,-4.8,CORUM:1004,RC complex during S-phase of cell cycle,M1,1,0
1,-4.6,GO:0055021,regulation of cardiac muscle tissue growth,M1,1,0
1,-6.4,hsa04750,Inflammatory mediator regulation of TRP channels,M1,1,0
1,-11,M1718,SIG IL4RECEPTOR IN B LYPHOCYTES,M1,1,0
1,-3,M6619,GSE5589 LPS VS LPS AND IL10 STIM IL6 KO MACROPHAGE 45MIN DN,M1,1,0
1,-5.1,CORUM:2787,BRCA1 C complex,M1,1,0
1,-4.3,GO:0010565,regulation of cellular ketone metabolic process,M1,1,0
1,-7,GO:0032787,monocarboxylic acid metabolic process,M1,1,0
1,-7.7,R-HSA-5655302,Signaling by FGFR1 in disease,M1,1,0
1,-10,GO:0048753,pigment granule organization,M1,1,0
1,-2.2,M4306,ONDER CDH1 TARGETS 2 DN,M1,1,0
1,-3.4,GO:1904019,epithelial cell apoptotic process,M1,1,0
1,-7,WP2112,IL-17 signaling pathway,M1,1,0
1,-2.5,GO:0004529,exodeoxyribonuclease activity,M1,1,0
1,-2.5,M8111,GSE19941 UNSTIM VS LPS STIM IL10 KO NFKBP50 KO MACROPHAGE DN,M1,1,0
1,-5.6,M4960,SMID BREAST CANCER BASAL DN,M1,1,0
1,-4.6,GO:1900542,regulation of purine nucleotide metabolic process,M1,1,0
1,-2.4,GO:0060038,cardiac muscle cell proliferation,M1,1,0
1,-5.6,M1373,GOTZMANN EPITHELIAL TO MESENCHYMAL TRANSITION UP,M1,1,0
1,-2.1,GO:0070542,response to fatty acid,M1,1,0
1,-5.4,GO:0002688,regulation of leukocyte chemotaxis,M1,1,0
1,-4.3,GO:1903532,positive regulation of secretion by cell,M1,1,0
1,-5.1,GO:0042509,regulation of tyrosine phosphorylation of STAT protein,M1,1,0
1,-3.4,R-HSA-9664420,Killing mechanisms,M1,1,0
1,-3.3,GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M1,1,0
1,-2.4,M7981,GSE25088 IL4 VS IL4 AND ROSIGLITAZONE STIM MACROPHAGE DAY10 UP,M1,1,0
1,-3.8,CORUM:1237,BAF complex,M1,1,0
1,-2.6,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,M1,1,0
1,-3.2,GO:0032940,secretion by cell,M1,1,0
1,-3.8,WP4864,Host-pathogen interaction of human coronaviruses - apoptosis,M1,1,0
1,-7.5,R-HSA-5576890,Phase 3 - rapid repolarisation,M1,1,0
1,-2.3,M8520,SHEDDEN LUNG CANCER POOR SURVIVAL A6,M1,1,0
1,-9.1,WP3935,Leptin-insulin signaling overlap,M1,1,0
1,-24,GO:0008134,transcription factor binding,M1,1,0
1,-5.5,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,M1,1,0
1,-3.8,GO:1904375,regulation of protein localization to cell periphery,M1,1,0
1,-2.1,M11028,ROVERSI GLIOMA COPY NUMBER UP,M1,1,0
1,-2.9,GO:0032042,mitochondrial DNA metabolic process,M1,1,0
1,-5.3,GO:0022804,active transmembrane transporter activity,M1,1,0
1,-3.5,M6189,ELVIDGE HIF1A AND HIF2A TARGETS DN,M1,1,0
1,-2.4,GO:0032816,positive regulation of natural killer cell activation,M1,1,0
1,-2.2,M4572,LOCKWOOD AMPLIFIED IN LUNG CANCER,M1,1,0
1,-4.8,M1117,CAIRO PML TARGETS BOUND BY MYC DN,M1,1,0
1,-7,R-HSA-9614085,FOXO-mediated transcription,M1,1,0
1,-3.7,M9749,GSE43863 TFH VS LY6C INT CXCR5POS EFFECTOR CD4 TCELL DN,M1,1,0
1,-4.8,GO:0001709,cell fate determination,M1,1,0
1,-3.1,WP1601,Fluoropyrimidine activity,M1,1,0
1,-3.3,M6364,HEIDENBLAD AMPLIFIED IN SOFT TISSUE CANCER,M1,1,0
1,-5,GO:0019898,extrinsic component of membrane,M1,1,0
1,-2.4,GO:0030507,spectrin binding,M1,1,0
1,-3,M4865,GSE27786 NKTCELL VS ERYTHROBLAST UP,M1,1,0
1,-5,GO:0022037,metencephalon development,M1,1,0
1,-4.2,M2461,DELACROIX RARG BOUND MEF,M1,1,0
1,-6.1,GO:0098857,membrane microdomain,M1,1,0
1,-2.4,M9793,GSE42724 NAIVE VS MEMORY BCELL DN,M1,1,0
1,-2.4,M3861,GSE17721 PAM3CSK4 VS CPG 4H BMDC DN,M1,1,0
1,-2.4,GO:0030159,signaling receptor complex adaptor activity,M1,1,0
1,-2.4,M9609,GSE42021 CD24LO TREG VS CD24LO TCONV THYMUS DN,M1,1,0
1,-2.4,GO:0035188,hatching,M1,1,0
1,-3.3,M19391,LIU PROSTATE CANCER DN,M1,1,0
1,-2.4,GO:0010970,transport along microtubule,M1,1,0
1,-3.7,M2635,ERBB2 UP.V1 DN,M1,1,0
1,-2.4,M6542,GSE5542 IFNG VS IFNA TREATED EPITHELIAL CELLS 6H UP,M1,1,0
1,-5,R-HSA-9027276,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),M1,1,0
1,-6.7,M16718,DING LUNG CANCER MUTATED FREQUENTLY,M1,1,0
1,-4.1,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,M1,1,0
1,-16,hsa04620,Toll-like receptor signaling pathway,M1,1,0
1,-2.4,GO:0089717,spanning component of membrane,M1,1,0
1,-8.2,WP2848,Pluripotent stem cell differentiation pathway,M1,1,0
1,-4.5,GO:0045725,positive regulation of glycogen biosynthetic process,M1,1,0
1,-13,WP4803,Ciliopathies,M1,1,0
1,-5,M6816,GSE7509 UNSTIM VS IFNA STIM IMMATURE DC DN,M1,1,0
1,-7.1,WP3878,ATM signaling in development and disease,M1,1,0
1,-4,R-HSA-8876384,Listeria monocytogenes entry into host cells,M1,1,0
1,-2.7,M4621,ROSS AML OF FAB M7 TYPE,M1,1,0
1,-3.9,R-HSA-445144,Signal transduction by L1,M1,1,0
1,-5,GO:0021954,central nervous system neuron development,M1,1,0
1,-7.6,hsa04350,TGF-beta signaling pathway,M1,1,0
1,-3.2,GO:0043552,positive regulation of phosphatidylinositol 3-kinase activity,M1,1,0
1,-3.5,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,M1,1,0
1,-2.1,R-HSA-1839126,FGFR2 mutant receptor activation,M1,1,0
1,-5.8,M234,PID IL2 STAT5 PATHWAY,M1,1,0
1,-4.7,GO:0033598,mammary gland epithelial cell proliferation,M1,1,0
1,-13,R-HSA-9675108,Nervous system development,M1,1,0
1,-3.3,M66,PID MYC ACTIV PATHWAY,M1,1,0
1,-4.8,GO:0007088,regulation of mitotic nuclear division,M1,1,0
1,-2.4,M3682,FLECHNER PBL KIDNEY TRANSPLANT REJECTED VS OK DN,M1,1,0
1,-3,M6646,GSE5589 WT VS IL6 KO LPS AND IL6 STIM MACROPHAGE 45MIN DN,M1,1,0
1,-2.1,GO:0002269,leukocyte activation involved in inflammatory response,M1,1,0
1,-2.3,GO:0060079,excitatory postsynaptic potential,M1,1,0
1,-13,R-HSA-4420097,VEGFA-VEGFR2 Pathway,M1,1,0
1,-3,M9610,GSE42021 TREG PLN VS CD24HI TREG THYMUS UP,M1,1,0
1,-4,R-HSA-167044,Signalling to RAS,M1,1,0
1,-2.2,GO:0000323,lytic vacuole,M1,1,0
1,-3,GO:0072521,purine-containing compound metabolic process,M1,1,0
1,-3.9,GO:0070316,regulation of G0 to G1 transition,M1,1,0
1,-4,R-HSA-164944,Nef and signal transduction,M1,1,0
1,-3.8,GO:0002223,stimulatory C-type lectin receptor signaling pathway,M1,1,0
1,-8.6,GO:0031960,response to corticosteroid,M1,1,0
1,-20,hsa04660,T cell receptor signaling pathway,M1,1,0
1,-3.7,M3907,GSE17721 LPS VS PAM3CSK4 0.5H BMDC DN,M1,1,0
1,-6.3,GO:0032204,regulation of telomere maintenance,M1,1,0
1,-3.8,GO:0072311,glomerular epithelial cell differentiation,M1,1,0
1,-19,hsa04935,"Growth hormone synthesis, secretion and action",M1,1,0
1,-2.2,M447,GSE12963 UNINF VS ENV AND NEF AND VPR DEFICIENT HIV1 INF CD4 TCELL UP,M1,1,0
1,-28,hsa01521,EGFR tyrosine kinase inhibitor resistance,M1,1,0
1,-3.3,GO:0006163,purine nucleotide metabolic process,M1,1,0
1,-2.1,GO:1903846,positive regulation of cellular response to transforming growth factor beta stimulus,M1,1,0
1,-6.4,GO:0002200,somatic diversification of immune receptors,M1,1,0
1,-2.4,M7992,GSE25123 ROSIGLITAZONE VS IL4 AND ROSIGLITAZONE STIM PPARG KO MACROPHAGE DAY10 DN,M1,1,0
1,-3.8,GO:0009152,purine ribonucleotide biosynthetic process,M1,1,0
1,-6.7,GO:0048485,sympathetic nervous system development,M1,1,0
1,-4.1,R-HSA-5621481,C-type lectin receptors (CLRs),M1,1,0
1,-3,M4142,GSE17721 0.5H VS 8H GARDIQUIMOD BMDC DN,M1,1,0
1,-3.5,GO:0032732,positive regulation of interleukin-1 production,M1,1,0
1,-3.7,WP4963,p53 transcriptional gene network,M1,1,0
1,-4.5,GO:0019439,aromatic compound catabolic process,M1,1,0
1,-4.9,M11038,GEORGES CELL CYCLE MIR192 TARGETS,M1,1,0
1,-3.1,M5295,GSE36476 CTRL VS TSST ACT 16H MEMORY CD4 TCELL OLD UP,M1,1,0
1,-5.1,M1938,MEISSNER BRAIN HCP WITH H3K27ME3,M1,1,0
1,-9.1,GO:0035265,organ growth,M1,1,0
1,-4.4,GO:0051100,negative regulation of binding,M1,1,0
1,-3,GO:0016241,regulation of macroautophagy,M1,1,0
1,-2.9,R-HSA-5619102,SLC transporter disorders,M1,1,0
1,-2.7,GO:0001836,release of cytochrome c from mitochondria,M1,1,0
1,-6,M672,CHIN BREAST CANCER COPY NUMBER UP,M1,1,0
1,-2.5,M1638,ZAMORA NOS2 TARGETS DN,M1,1,0
1,-7.5,GO:0043536,positive regulation of blood vessel endothelial cell migration,M1,1,0
1,-3.9,GO:0072112,podocyte differentiation,M1,1,0
1,-9.6,GO:0006261,DNA-templated DNA replication,M1,1,0
1,-2.4,M5851,GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES DN,M1,1,0
1,-2,M6748,GSE6259 FLT3L INDUCED 33D1 POS DC VS CD8 TCELL UP,M1,1,0
1,-3.5,GO:0046677,response to antibiotic,M1,1,0
1,-2.3,M15171,SASAKI ADULT T CELL LEUKEMIA,M1,1,0
1,-24,hsa04510,Focal adhesion,M1,1,0
1,-3.3,M10319,WALLACE PROSTATE CANCER RACE UP,M1,1,0
1,-3,GO:0032271,regulation of protein polymerization,M1,1,0
1,-17,hsa04960,Aldosterone-regulated sodium reabsorption,M1,1,0
1,-2.4,M1741,ZHENG BOUND BY FOXP3,M1,1,0
1,-17,WP304,Kit receptor signaling pathway,M1,1,0
1,-3.4,M15801,SCHLOSSER SERUM RESPONSE AUGMENTED BY MYC,M1,1,0
1,-2.4,GO:0030705,cytoskeleton-dependent intracellular transport,M1,1,0
1,-4.9,GO:0000280,nuclear division,M1,1,0
1,-2.5,GO:0019867,outer membrane,M1,1,0
1,-4.4,GO:0098794,postsynapse,M1,1,0
1,-4.4,GO:0043491,protein kinase B signaling,M1,1,0
1,-4.4,GO:0040018,positive regulation of multicellular organism growth,M1,1,0
1,-14,GO:0005667,transcription regulator complex,M1,1,0
1,-3,M2398,SERVITJA LIVER HNF1A TARGETS DN,M1,1,0
1,-7.1,M12,PID RHOA PATHWAY,M1,1,0
1,-5.2,GO:0071276,cellular response to cadmium ion,M1,1,0
1,-2.8,WP4707,Aspirin and miRNAs,M1,1,0
1,-5.5,GO:1903530,regulation of secretion by cell,M1,1,0
1,-2.2,hsa04730,Long-term depression,M1,1,0
1,-3,M7709,GSE22527 ANTI CD3 INVIVO VS UNTREATED MOUSE TREG DN,M1,1,0
1,-2.9,R-HSA-111465,Apoptotic cleavage of cellular proteins,M1,1,0
1,-14,GO:0050673,epithelial cell proliferation,M1,1,0
1,-2.7,M7061,CROMER METASTASIS UP,M1,1,0
1,-26,GO:0006974,cellular response to DNA damage stimulus,M1,1,0
1,-4.5,GO:0071902,positive regulation of protein serine/threonine kinase activity,M1,1,0
1,-5.2,GO:0051301,cell division,M1,1,0
1,-2.2,GO:0019058,viral life cycle,M1,1,0
1,-3.1,M1595,BARRIER CANCER RELAPSE NORMAL SAMPLE UP,M1,1,0
1,-2.4,M3734,GSE17721 CTRL VS PAM3CSK4 2H BMDC DN,M1,1,0
1,-14,hsa05221,Acute myeloid leukemia,M1,1,0
1,-2.7,GO:0023061,signal release,M1,1,0
1,-2.5,M7451,GSE21670 IL6 VS TGFB AND IL6 TREATED STAT3 KO CD4 TCELL DN,M1,1,0
1,-3.3,GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,M1,1,0
1,-2.3,GO:0032420,stereocilium,M1,1,0
1,-11,WP244,Alpha 6 beta 4 signaling pathway,M1,1,0
1,-3.6,GO:0034332,adherens junction organization,M1,1,0
1,-2.6,GO:0001658,branching involved in ureteric bud morphogenesis,M1,1,0
1,-11,GO:0010332,response to gamma radiation,M1,1,0
1,-7.6,GO:2000628,regulation of miRNA metabolic process,M1,1,0
1,-2.4,M7473,GSE21670 IL6 VS TGFB AND IL6 TREATED CD4 TCELL DN,M1,1,0
1,-4,WP15,Selenium micronutrient network,M1,1,0
1,-12,GO:0051904,pigment granule transport,M1,1,0
1,-2.5,M7468,GSE21670 STAT3 KO VS WT CD4 TCELL UP,M1,1,0
1,-2.7,R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,M1,1,0
1,-2.7,R-HSA-1474228,Degradation of the extracellular matrix,M1,1,0
1,-3.5,GO:0009150,purine ribonucleotide metabolic process,M1,1,0
1,-7.8,GO:0021761,limbic system development,M1,1,0
1,-3,M9608,GSE42021 CD24LO TREG VS CD24LO TCONV THYMUS UP,M1,1,0
1,-3.8,GO:0048704,embryonic skeletal system morphogenesis,M1,1,0
1,-2.9,GO:1901387,positive regulation of voltage-gated calcium channel activity,M1,1,0
1,-3.7,WP2815,Mammary gland development pathway - Involution (Stage 4 of 4),M1,1,0
1,-4,hsa05340,Primary immunodeficiency,M1,1,0
1,-7.5,M5160,GSE360 CTRL VS L MAJOR MAC UP,M1,1,0
1,-16,WP2332,Interleukin-11 signaling pathway,M1,1,0
1,-2.4,M3633,GSE15930 STIM VS STIM AND IFNAB 48H CD8 T CELL UP,M1,1,0
1,-3.7,GO:0048703,embryonic viscerocranium morphogenesis,M1,1,0
1,-3.7,M8869,GSE37301 COMMON LYMPHOID PROGENITOR VS CD4 TCELL DN,M1,1,0
1,-10,R-HSA-9603798,Class I peroxisomal membrane protein import,M1,1,0
1,-2,M13453,DER IFN BETA RESPONSE UP,M1,1,0
1,-2.3,R-HSA-446728,Cell junction organization,M1,1,0
1,-5.1,R-HSA-1059683,Interleukin-6 signaling,M1,1,0
1,-10,WP2882,Nuclear receptors meta-pathway,M1,1,0
1,-3.1,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,M1,1,0
1,-2.7,M11383,BROWNE HCMV INFECTION 16HR UP,M1,1,0
1,-3.6,GO:0010677,negative regulation of cellular carbohydrate metabolic process,M1,1,0
