Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,WikiPathways,27,WP4262,Breast cancer pathway,,-33,19,24,30169,155,351,34,9.7,1.6,207|472|545|595|672|675|1019|1499|1950|1956|2064|2099|2248|2249|2260|2353|2885|3479|3725|3845|4361|4683|4851|4853|5290|5295|5296|5594|5728|5888|5925|7157|8503|10000,AKT1|ATM|ATR|CCND1|BRCA1|BRCA2|CDK4|CTNNB1|EGF|EGFR|ERBB2|ESR1|FGF3|FGF4|FGFR1|FOS|GRB2|IGF1|JUN|KRAS|MRE11|NBN|NOTCH1|NOTCH2|PIK3CA|PIK3R1|PIK3R2|MAPK1|PTEN|RAD51|RB1|TP53|PIK3R3|AKT3,-30
MyList,Chemical And Genetic Perturbations,13,M15356,PUJANA BREAST CANCER LIT INT NETWORK,,-32,25,26,30169,101,351,29,8.3,1.5,25|207|367|472|545|580|595|641|675|701|1017|1019|1387|2033|2099|3717|4292|4361|4683|5469|5888|5925|5932|5970|6117|6119|7157|8850|11200,ABL1|AKT1|AR|ATM|ATR|BARD1|CCND1|BLM|BRCA2|BUB1B|CDK2|CDK4|CREBBP|EP300|ESR1|JAK2|MLH1|MRE11|NBN|MED1|RAD51|RB1|RBBP8|RELA|RPA1|RPA3|TP53|KAT2B|CHEK2,-29
MyList,Reactome Gene Sets,6,R-HSA-199418,Negative regulation of the PI3K/AKT network,,-32,23,25,30169,113,351,30,8.5,1.5,207|1950|1956|2064|2065|2099|2248|2249|2260|2263|2534|2885|3630|3667|3932|5290|5291|5295|5296|5518|5528|5594|5728|5781|5879|5880|6714|8503|10000|23396,AKT1|EGF|EGFR|ERBB2|ERBB3|ESR1|FGF3|FGF4|FGFR1|FGFR2|FYN|GRB2|INS|IRS1|LCK|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PPP2R1A|PPP2R5D|MAPK1|PTEN|PTPN11|RAC1|RAC2|SRC|PIK3R3|AKT3|PIP5K1C,-29
MyList,WikiPathways,27,WP4806,EGFR tyrosine kinase inhibitor resistance,,-31,28,27,30169,84,351,27,7.7,1.4,207|595|596|1950|1956|2064|2065|2263|2885|3479|3569|3717|3845|4763|5170|5290|5291|5295|5296|5335|5594|5728|6714|6774|7422|8503|10000,AKT1|CCND1|BCL2|EGF|EGFR|ERBB2|ERBB3|FGFR2|GRB2|IGF1|IL6|JAK2|KRAS|NF1|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLCG1|MAPK1|PTEN|SRC|STAT3|VEGFA|PIK3R3|AKT3,-28
MyList,KEGG Pathway,24,hsa04068,FoxO signaling pathway,,-31,20,24,30169,131,351,31,8.8,1.5,207|472|595|1017|1027|1387|1432|1950|1956|2033|2290|2885|3479|3569|3630|3667|3845|5170|5290|5291|5295|5296|5594|5599|5728|6648|6774|7040|8503|10000|51422,AKT1|ATM|CCND1|CDK2|CDKN1B|CREBBP|MAPK14|EGF|EGFR|EP300|FOXG1|GRB2|IGF1|IL6|INS|IRS1|KRAS|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|MAPK8|PTEN|SOD2|STAT3|TGFB1|PIK3R3|AKT3|PRKAG2,-28
MyList,GO Biological Processes,19,GO:0007507,heart development,19_GO:0032502 developmental process,-31,8,18,30169,556,351,52,15,1.9,25|429|472|585|841|998|1027|1499|2033|2064|2065|2138|2200|2263|2303|2625|3725|3784|4194|4763|4851|4853|5308|5465|5469|5594|5728|5781|5925|6416|6648|7040|7054|7157|7422|8195|8850|10021|10413|11277|23054|23322|23363|25836|54345|54903|55212|57545|129880|161742|200894|285590,ABL1|ASCL1|ATM|BBS4|CASP8|CDC42|CDKN1B|CTNNB1|EP300|ERBB2|ERBB3|EYA1|FBN1|FGFR2|FOXC2|GATA3|JUN|KCNQ1|MDM4|NF1|NOTCH1|NOTCH2|PITX2|PPARA|MED1|MAPK1|PTEN|PTPN11|RB1|MAP2K4|SOD2|TGFB1|TH|TP53|VEGFA|MKKS|KAT2B|HCN4|YAP1|TREX1|NCOA6|RPGRIP1L|OBSL1|NIPBL|SOX18|MKS1|BBS7|CC2D2A|BBS5|SPRED1|ARL13B|SH3PXD2B,-28
MyList,Canonical Pathways,11,M175,PID ERBB2 ERBB3 PATHWAY,,-31,43,30,30169,44,351,22,6.3,1.3,207|998|1145|2064|2065|2353|2885|3717|3725|3845|4771|5290|5291|5295|5296|5594|5599|5781|5879|6714|6774|8503,AKT1|CDC42|CHRNE|ERBB2|ERBB3|FOS|GRB2|JAK2|JUN|KRAS|NF2|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|MAPK8|PTPN11|RAC1|SRC|STAT3|PIK3R3,-28
MyList,Reactome Gene Sets,6,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,,-31,9.3,19,30169,433,351,47,13,1.8,207|1027|1387|1499|1950|1956|2033|2064|2065|2099|2248|2249|2260|2263|2534|2885|3667|3717|3845|3932|4204|4763|4851|5170|5290|5291|5295|5296|5335|5518|5528|5594|5728|5781|5879|5880|6714|6774|7040|8036|8503|8546|8850|9611|10000|54894|161742,AKT1|CDKN1B|CREBBP|CTNNB1|EGF|EGFR|EP300|ERBB2|ERBB3|ESR1|FGF3|FGF4|FGFR1|FGFR2|FYN|GRB2|IRS1|JAK2|KRAS|LCK|MECP2|NF1|NOTCH1|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLCG1|PPP2R1A|PPP2R5D|MAPK1|PTEN|PTPN11|RAC1|RAC2|SRC|STAT3|TGFB1|SHOC2|PIK3R3|AP3B1|KAT2B|NCOR1|AKT3|RNF43|SPRED1,-28
MyList,Reactome Gene Sets,6,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",,-29,23,24,30169,106,351,28,8,1.4,207|1950|1956|2064|2065|2099|2248|2249|2260|2263|2534|2885|3630|3667|3932|5290|5291|5295|5296|5518|5528|5594|5781|5879|5880|6714|8503|23396,AKT1|EGF|EGFR|ERBB2|ERBB3|ESR1|FGF3|FGF4|FGFR1|FGFR2|FYN|GRB2|INS|IRS1|LCK|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PPP2R1A|PPP2R5D|MAPK1|PTPN11|RAC1|RAC2|SRC|PIK3R3|PIP5K1C,-27
MyList,WikiPathways,27,WP4674,Head and neck squamous cell carcinoma,,-29,29,26,30169,74,351,25,7.1,1.4,207|595|841|1019|1029|1499|1956|2064|2260|2263|3845|4790|4851|4853|5170|5290|5291|5295|5296|5728|5925|5970|7157|7422|10000,AKT1|CCND1|CASP8|CDK4|CDKN2A|CTNNB1|EGFR|ERBB2|FGFR1|FGFR2|KRAS|NFKB1|NOTCH1|NOTCH2|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PTEN|RB1|RELA|TP53|VEGFA|AKT3,-27
MyList,WikiPathways,27,WP5087,Malignant pleural mesothelioma,,-29,9,18,30169,440,351,46,13,1.8,207|472|580|595|596|672|999|1000|1017|1019|1029|1286|1287|1432|1499|1950|1956|2248|2249|2260|2263|2885|3146|3479|3569|3630|3725|4149|4194|4214|4771|4790|5290|5291|5594|5599|5728|6416|6714|7040|7157|7422|10000|10413|25937|51422,AKT1|ATM|BARD1|CCND1|BCL2|BRCA1|CDH1|CDH2|CDK2|CDK4|CDKN2A|COL4A4|COL4A5|MAPK14|CTNNB1|EGF|EGFR|FGF3|FGF4|FGFR1|FGFR2|GRB2|HMGB1|IGF1|IL6|INS|JUN|MAX|MDM4|MAP3K1|NF2|NFKB1|PIK3CA|PIK3CB|MAPK1|MAPK8|PTEN|MAP2K4|SRC|TGFB1|TP53|VEGFA|AKT3|YAP1|WWTR1|PRKAG2,-27
MyList,Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-29,8.1,18,30169,521,351,49,14,1.8,207|429|998|1108|1286|1287|1290|1302|1432|1499|1950|1956|2033|2064|2065|2099|2248|2249|2260|2263|2353|2534|2885|3479|3630|3667|3717|3730|3845|3932|5170|5290|5291|5295|5296|5335|5518|5528|5594|5781|5879|6714|6774|7422|8503|9611|10000|10413|161742,AKT1|ASCL1|CDC42|CHD4|COL4A4|COL4A5|COL5A2|COL11A2|MAPK14|CTNNB1|EGF|EGFR|EP300|ERBB2|ERBB3|ESR1|FGF3|FGF4|FGFR1|FGFR2|FOS|FYN|GRB2|IGF1|INS|IRS1|JAK2|ANOS1|KRAS|LCK|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLCG1|PPP2R1A|PPP2R5D|MAPK1|PTPN11|RAC1|SRC|STAT3|VEGFA|PIK3R3|NCOR1|AKT3|YAP1|SPRED1,-26
MyList,KEGG Pathway,24,hsa01521,EGFR tyrosine kinase inhibitor resistance,,-29,27,25,30169,79,351,25,7.1,1.4,207|596|1950|1956|2064|2065|2263|2885|3479|3569|3717|3845|4763|5290|5291|5295|5296|5335|5594|5728|6714|6774|7422|8503|10000,AKT1|BCL2|EGF|EGFR|ERBB2|ERBB3|FGFR2|GRB2|IGF1|IL6|JAK2|KRAS|NF1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLCG1|MAPK1|PTEN|SRC|STAT3|VEGFA|PIK3R3|AKT3,-26
MyList,Reactome Gene Sets,6,R-HSA-2219528,PI3K/AKT Signaling in Cancer,,-28,22,24,30169,104,351,27,7.7,1.4,207|1027|1950|1956|2064|2065|2099|2248|2249|2260|2263|2534|2885|3667|3932|5170|5290|5291|5295|5296|5728|5781|5879|5880|6714|8503|10000,AKT1|CDKN1B|EGF|EGFR|ERBB2|ERBB3|ESR1|FGF3|FGF4|FGFR1|FGFR2|FYN|GRB2|IRS1|LCK|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PTEN|PTPN11|RAC1|RAC2|SRC|PIK3R3|AKT3,-26
MyList,KEGG Pathway,24,hsa05161,Hepatitis B,,-28,16,21,30169,162,351,31,8.8,1.5,207|596|841|1017|1387|1432|2033|2353|2885|3569|3576|3717|3725|3845|4214|4790|5290|5291|5295|5296|5594|5599|5925|5970|6416|6714|6774|7040|7157|8503|10000,AKT1|BCL2|CASP8|CDK2|CREBBP|MAPK14|EP300|FOS|GRB2|IL6|CXCL8|JAK2|JUN|KRAS|MAP3K1|NFKB1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|MAPK8|RB1|RELA|MAP2K4|SRC|STAT3|TGFB1|TP53|PIK3R3|AKT3,-25
MyList,KEGG Pathway,24,hsa05224,Breast cancer,,-28,18,22,30169,147,351,30,8.5,1.5,207|595|672|675|1019|1499|1950|1956|2064|2099|2248|2249|2260|2353|2885|3479|3725|3845|4851|4853|5290|5291|5295|5296|5594|5728|5925|7157|8503|10000,AKT1|CCND1|BRCA1|BRCA2|CDK4|CTNNB1|EGF|EGFR|ERBB2|ESR1|FGF3|FGF4|FGFR1|FOS|GRB2|IGF1|JUN|KRAS|NOTCH1|NOTCH2|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|PTEN|RB1|TP53|PIK3R3|AKT3,-25
MyList,GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-28,6.3,16,30169,764,351,56,16,2,15|207|367|583|585|595|596|672|1019|1027|1432|2033|2099|2200|2303|2353|2625|2706|2885|3569|3630|3667|3717|3784|4149|4790|4851|4982|5170|5290|5295|5296|5447|5465|5469|5781|5925|5970|6338|6340|6663|6714|6774|7040|7054|8195|8289|8503|8850|9663|10002|10413|10499|10999|23054|83990,AANAT|AKT1|AR|BBS2|BBS4|CCND1|BCL2|BRCA1|CDK4|CDKN1B|MAPK14|EP300|ESR1|FBN1|FOXC2|FOS|GATA3|GJB2|GRB2|IL6|INS|IRS1|JAK2|KCNQ1|MAX|NFKB1|NOTCH1|TNFRSF11B|PDPK1|PIK3CA|PIK3R1|PIK3R2|POR|PPARA|MED1|PTPN11|RB1|RELA|SCNN1B|SCNN1G|SOX10|SRC|STAT3|TGFB1|TH|MKKS|ARID1A|PIK3R3|KAT2B|LPIN2|NR2E3|YAP1|NCOA2|SLC27A4|NCOA6|BRIP1,-25
MyList,GO Biological Processes,19,GO:0006974,cellular response to DNA damage stimulus,19_GO:0050896 response to stimulus,-27,6.4,16,30169,742,351,55,16,1.9,25|472|545|580|595|596|641|672|675|1017|1027|1161|1432|1663|2033|2067|2068|2138|2885|3146|3981|4194|4292|4361|4683|5295|5395|5426|5594|5781|5888|5889|5932|5965|6117|6119|6240|6648|7153|7156|7157|7515|8812|9025|10413|10535|11200|11277|23054|25836|79621|79728|83990|84153|157570,ABL1|ATM|ATR|BARD1|CCND1|BCL2|BLM|BRCA1|BRCA2|CDK2|CDKN1B|ERCC8|MAPK14|DDX11|EP300|ERCC1|ERCC2|EYA1|GRB2|HMGB1|LIG4|MDM4|MLH1|MRE11|NBN|PIK3R1|PMS2|POLE|MAPK1|PTPN11|RAD51|RAD51C|RBBP8|RECQL|RPA1|RPA3|RRM1|SOD2|TOP2A|TOP3A|TP53|XRCC1|CCNK|RNF8|YAP1|RNASEH2A|CHEK2|TREX1|NCOA6|NIPBL|RNASEH2B|PALB2|BRIP1|RNASEH2C|ESCO2,-25
MyList,GO Biological Processes,19,GO:0002520,immune system development,19_GO:0002376 immune system process,-27,6.3,16,30169,746,351,55,16,1.9,25|326|472|596|675|841|998|1432|1499|2033|2064|2067|2068|2263|2353|2625|2811|2812|2815|3146|3569|3659|3717|3725|3784|3932|3981|4292|4683|4763|4853|5295|5296|5308|5395|5469|5594|5781|5925|6648|6714|6774|7040|7153|7157|7422|8503|8546|9025|10468|11277|23054|23529|56975|157570,ABL1|AIRE|ATM|BCL2|BRCA2|CASP8|CDC42|MAPK14|CTNNB1|EP300|ERBB2|ERCC1|ERCC2|FGFR2|FOS|GATA3|GP1BA|GP1BB|GP9|HMGB1|IL6|IRF1|JAK2|JUN|KCNQ1|LCK|LIG4|MLH1|NBN|NF1|NOTCH2|PIK3R1|PIK3R2|PITX2|PMS2|MED1|MAPK1|PTPN11|RB1|SOD2|SRC|STAT3|TGFB1|TOP2A|TP53|VEGFA|PIK3R3|AP3B1|RNF8|FST|TREX1|NCOA6|CLCF1|FAM20C|ESCO2,-25
MyList,KEGG Pathway,24,hsa05208,Chemical carcinogenesis - reactive oxygen species,,-27,13,20,30169,223,351,34,9.7,1.6,25|207|1432|1950|1956|2052|2353|2885|3725|3845|4695|4722|4723|4724|4728|4790|5170|5290|5291|5295|5296|5594|5599|5728|5781|5879|5970|6416|6648|6714|7422|8503|10000|374291,ABL1|AKT1|MAPK14|EGF|EGFR|EPHX1|FOS|GRB2|JUN|KRAS|NDUFA2|NDUFS3|NDUFV1|NDUFS4|NDUFS8|NFKB1|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|MAPK8|PTEN|PTPN11|RAC1|RELA|MAP2K4|SOD2|SRC|VEGFA|PIK3R3|AKT3|NDUFS7,-25
MyList,KEGG Pathway,24,hsa04917,Prolactin signaling pathway,,-27,28,25,30169,70,351,23,6.6,1.3,207|595|1432|2099|2353|2885|3630|3659|3717|3845|4790|5290|5291|5295|5296|5594|5599|5970|6714|6774|7054|8503|10000,AKT1|CCND1|MAPK14|ESR1|FOS|GRB2|INS|IRF1|JAK2|KRAS|NFKB1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|MAPK8|RELA|SRC|STAT3|TH|PIK3R3|AKT3,-24
MyList,KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,,-27,9.7,18,30169,354,351,40,11,1.7,207|595|596|672|1017|1019|1027|1286|1287|1950|1956|2064|2065|2248|2249|2260|2263|2885|3479|3569|3630|3667|3717|3845|4790|5170|5290|5291|5295|5296|5518|5528|5594|5728|5879|5970|7157|7422|8503|10000,AKT1|CCND1|BCL2|BRCA1|CDK2|CDK4|CDKN1B|COL4A4|COL4A5|EGF|EGFR|ERBB2|ERBB3|FGF3|FGF4|FGFR1|FGFR2|GRB2|IGF1|IL6|INS|IRS1|JAK2|KRAS|NFKB1|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PPP2R1A|PPP2R5D|MAPK1|PTEN|RAC1|RELA|TP53|VEGFA|PIK3R3|AKT3,-24
MyList,KEGG Pathway,24,hsa05167,Kaposi sarcoma-associated herpesvirus infection,,-27,14,20,30169,194,351,32,9.1,1.5,207|595|841|1019|1387|1432|1499|2033|2353|3569|3576|3717|3725|3845|4790|5290|5291|5295|5296|5335|5594|5599|5879|5925|5970|6416|6714|6774|7157|7422|8503|10000,AKT1|CCND1|CASP8|CDK4|CREBBP|MAPK14|CTNNB1|EP300|FOS|IL6|CXCL8|JAK2|JUN|KRAS|NFKB1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLCG1|MAPK1|MAPK8|RAC1|RB1|RELA|MAP2K4|SRC|STAT3|TP53|VEGFA|PIK3R3|AKT3,-24
MyList,GO Biological Processes,19,GO:1901699,cellular response to nitrogen compound,19_GO:0050896 response to stimulus,-27,6.8,16,30169,646,351,51,15,1.9,15|25|207|641|672|999|1017|1019|1144|1290|1499|1663|1956|2200|2303|2353|2534|2706|2885|3479|3630|3667|3717|3725|3753|3784|4149|4790|5170|5290|5295|5296|5447|5594|5888|5925|5970|6338|6340|6714|6774|7054|7157|8503|8850|9663|10021|10084|10999|11277|83990,AANAT|ABL1|AKT1|BLM|BRCA1|CDH1|CDK2|CDK4|CHRND|COL5A2|CTNNB1|DDX11|EGFR|FBN1|FOXC2|FOS|FYN|GJB2|GRB2|IGF1|INS|IRS1|JAK2|JUN|KCNE1|KCNQ1|MAX|NFKB1|PDPK1|PIK3CA|PIK3R1|PIK3R2|POR|MAPK1|RAD51|RB1|RELA|SCNN1B|SCNN1G|SRC|STAT3|TH|TP53|PIK3R3|KAT2B|LPIN2|HCN4|PQBP1|SLC27A4|TREX1|BRIP1,-24
MyList,GO Biological Processes,19,GO:0007423,sensory organ development,19_GO:0032502 developmental process,-26,7.3,16,30169,563,351,48,14,1.8,429|585|596|1027|1290|1499|1956|2138|2200|2263|2290|2303|2625|2706|3725|3784|4149|4358|4647|4763|4771|4810|4851|4853|5308|5469|5594|5781|5818|6774|7021|7054|7422|9992|10002|10083|22930|23322|23363|25836|51057|54903|55212|57545|124590|147912|285590|388552,ASCL1|BBS4|BCL2|CDKN1B|COL5A2|CTNNB1|EGFR|EYA1|FBN1|FGFR2|FOXG1|FOXC2|GATA3|GJB2|JUN|KCNQ1|MAX|MPV17|MYO7A|NF1|NF2|NHS|NOTCH1|NOTCH2|PITX2|MED1|MAPK1|PTPN11|NECTIN1|STAT3|TFAP2B|TH|VEGFA|KCNE2|NR2E3|USH1C|RAB3GAP1|RPGRIP1L|OBSL1|NIPBL|WDPCP|MKS1|BBS7|CC2D2A|USH1G|SIX5|SH3PXD2B|BLOC1S3,-24
MyList,WikiPathways,27,WP4155,Endometrial cancer,,-26,30,25,30169,63,351,22,6.3,1.3,207|595|999|1499|1950|1956|2064|2260|2263|2353|2885|3845|5170|5290|5291|5295|5296|5594|5728|7157|8503|10000,AKT1|CCND1|CDH1|CTNNB1|EGF|EGFR|ERBB2|FGFR1|FGFR2|FOS|GRB2|KRAS|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|PTEN|TP53|PIK3R3|AKT3,-24
MyList,KEGG Pathway,24,hsa05210,Colorectal cancer,,-26,24,23,30169,86,351,24,6.8,1.3,207|595|596|1499|1950|1956|2353|2885|3725|3845|4292|5290|5291|5295|5296|5594|5599|5879|5880|5881|7040|7157|8503|10000,AKT1|CCND1|BCL2|CTNNB1|EGF|EGFR|FOS|GRB2|JUN|KRAS|MLH1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|MAPK1|MAPK8|RAC1|RAC2|RAC3|TGFB1|TP53|PIK3R3|AKT3,-24
